AAAAMMJJ,RR,TNTXM,TNTXM_moy_mois,GLOT_moy_mois
19890101,0,5.4,3.6258064516129,251.903225806452
19890102,0,5.1,3.6258064516129,251.903225806452
19890103,0,0.4,3.6258064516129,251.903225806452
19890104,11.2,1.1,3.6258064516129,251.903225806452
19890105,7.2,4.9,3.6258064516129,251.903225806452
19890106,0,8.1,3.6258064516129,251.903225806452
19890107,0.4,7.3,3.6258064516129,251.903225806452
19890108,0.2,7.6,3.6258064516129,251.903225806452
19890109,1,6.1,3.6258064516129,251.903225806452
19890110,0.6,6.8,3.6258064516129,251.903225806452
19890111,0,2.4,3.6258064516129,251.903225806452
19890112,3.8,5.4,3.6258064516129,251.903225806452
19890113,0,3.8,3.6258064516129,251.903225806452
19890114,0.2,6.8,3.6258064516129,251.903225806452
19890115,0,4.3,3.6258064516129,251.903225806452
19890116,0,4.2,3.6258064516129,251.903225806452
19890117,2,1,3.6258064516129,251.903225806452
19890118,0,4.1,3.6258064516129,251.903225806452
19890119,0,2.3,3.6258064516129,251.903225806452
19890120,0,2.8,3.6258064516129,251.903225806452
19890121,7.8,4.7,3.6258064516129,251.903225806452
19890122,0,5.8,3.6258064516129,251.903225806452
19890123,0,2,3.6258064516129,251.903225806452
19890124,0,-0.3,3.6258064516129,251.903225806452
19890125,0,1.5,3.6258064516129,251.903225806452
19890126,0,2.1,3.6258064516129,251.903225806452
19890127,0,2.7,3.6258064516129,251.903225806452
19890128,0,2.3,3.6258064516129,251.903225806452
19890129,0,1.6,3.6258064516129,251.903225806452
19890130,0,0.6,3.6258064516129,251.903225806452
19890131,0,-0.5,3.6258064516129,251.903225806452
19890201,0,-0.9,4.60714285714286,432.785714285714
19890202,0,-1.8,4.60714285714286,432.785714285714
19890203,0,-1.4,4.60714285714286,432.785714285714
19890204,1.8,0,4.60714285714286,432.785714285714
19890205,0.2,3.3,4.60714285714286,432.785714285714
19890206,0,9.1,4.60714285714286,432.785714285714
19890207,0,8.6,4.60714285714286,432.785714285714
19890208,0,2.7,4.60714285714286,432.785714285714
19890209,0,4.5,4.60714285714286,432.785714285714
19890210,0,5.6,4.60714285714286,432.785714285714
19890211,0,3.9,4.60714285714286,432.785714285714
19890212,0.8,6.1,4.60714285714286,432.785714285714
19890213,2.4,3.7,4.60714285714286,432.785714285714
19890214,0,5,4.60714285714286,432.785714285714
19890215,3.8,5.1,4.60714285714286,432.785714285714
19890216,0,3.2,4.60714285714286,432.785714285714
19890217,1.2,4,4.60714285714286,432.785714285714
19890218,3.2,9.9,4.60714285714286,432.785714285714
19890219,6.4,11.8,4.60714285714286,432.785714285714
19890220,0,9.2,4.60714285714286,432.785714285714
19890221,0,6.4,4.60714285714286,432.785714285714
19890222,3.8,4.8,4.60714285714286,432.785714285714
19890223,0,5.7,4.60714285714286,432.785714285714
19890224,1.6,3.7,4.60714285714286,432.785714285714
19890225,9,4.5,4.60714285714286,432.785714285714
19890226,2.6,4.1,4.60714285714286,432.785714285714
19890227,3.8,4.6,4.60714285714286,432.785714285714
19890228,6.8,3.6,4.60714285714286,432.785714285714
19890301,5.4,5.7,8.7,975.290322580645
19890302,12.8,5.5,8.7,975.290322580645
19890303,0.4,8.1,8.7,975.290322580645
19890304,2.2,7.7,8.7,975.290322580645
19890305,0,11,8.7,975.290322580645
19890306,0,11.3,8.7,975.290322580645
19890307,30.6,8,8.7,975.290322580645
19890308,0,6.5,8.7,975.290322580645
19890309,0,6.6,8.7,975.290322580645
19890310,0,8.1,8.7,975.290322580645
19890311,0.4,8.5,8.7,975.290322580645
19890312,0,10.5,8.7,975.290322580645
19890313,0,8.6,8.7,975.290322580645
19890314,3.4,6.7,8.7,975.290322580645
19890315,3.4,8.5,8.7,975.290322580645
19890316,4.6,10.1,8.7,975.290322580645
19890317,0.8,5.3,8.7,975.290322580645
19890318,0,4.5,8.7,975.290322580645
19890319,0,7,8.7,975.290322580645
19890320,2,4.6,8.7,975.290322580645
19890321,1,6,8.7,975.290322580645
19890322,0.8,8.9,8.7,975.290322580645
19890323,0,5.4,8.7,975.290322580645
19890324,5.8,8.6,8.7,975.290322580645
19890325,0,10.2,8.7,975.290322580645
19890326,0,10.6,8.7,975.290322580645
19890327,0,13.8,8.7,975.290322580645
19890328,0,15.1,8.7,975.290322580645
19890329,0,14.8,8.7,975.290322580645
19890330,0.2,11,8.7,975.290322580645
19890331,0.8,12.5,8.7,975.290322580645
19890401,11.2,13.5,7.13666666666667,1050.56666666667
19890402,1.8,8.9,7.13666666666667,1050.56666666667
19890403,0.6,3.8,7.13666666666667,1050.56666666667
19890404,7.6,2.4,7.13666666666667,1050.56666666667
19890405,10.8,2.8,7.13666666666667,1050.56666666667
19890406,7.6,4.6,7.13666666666667,1050.56666666667
19890407,2.8,7.5,7.13666666666667,1050.56666666667
19890408,0,7,7.13666666666667,1050.56666666667
19890409,0,7.4,7.13666666666667,1050.56666666667
19890410,1.4,11.4,7.13666666666667,1050.56666666667
19890411,13.2,9,7.13666666666667,1050.56666666667
19890412,1.2,10.5,7.13666666666667,1050.56666666667
19890413,0,7,7.13666666666667,1050.56666666667
19890414,3.8,8.1,7.13666666666667,1050.56666666667
19890415,0,7.3,7.13666666666667,1050.56666666667
19890416,0.1,7.6,7.13666666666667,1050.56666666667
19890417,0,7.1,7.13666666666667,1050.56666666667
19890418,0,7.7,7.13666666666667,1050.56666666667
19890419,0.2,6.9,7.13666666666667,1050.56666666667
19890420,4.6,6.2,7.13666666666667,1050.56666666667
19890421,11.8,6.4,7.13666666666667,1050.56666666667
19890422,0.4,8,7.13666666666667,1050.56666666667
19890423,0,7.4,7.13666666666667,1050.56666666667
19890424,7.2,9.4,7.13666666666667,1050.56666666667
19890425,9,6,7.13666666666667,1050.56666666667
19890426,0.6,5,7.13666666666667,1050.56666666667
19890427,8.4,3.3,7.13666666666667,1050.56666666667
19890428,0,6.9,7.13666666666667,1050.56666666667
19890429,0,7,7.13666666666667,1050.56666666667
19890430,0,8,7.13666666666667,1050.56666666667
19890501,0,10.7,14.7774193548387,2187.61290322581
19890502,0,11.4,14.7774193548387,2187.61290322581
19890503,0,14.5,14.7774193548387,2187.61290322581
19890504,0,16.6,14.7774193548387,2187.61290322581
19890505,0,17.4,14.7774193548387,2187.61290322581
19890506,0,12.1,14.7774193548387,2187.61290322581
19890507,0,8.8,14.7774193548387,2187.61290322581
19890508,0,12.1,14.7774193548387,2187.61290322581
19890509,8.4,14.8,14.7774193548387,2187.61290322581
19890510,8,13.8,14.7774193548387,2187.61290322581
19890511,27.4,13.5,14.7774193548387,2187.61290322581
19890512,3,11,14.7774193548387,2187.61290322581
19890513,0.8,10.1,14.7774193548387,2187.61290322581
19890514,3.2,10.1,14.7774193548387,2187.61290322581
19890515,0,12.2,14.7774193548387,2187.61290322581
19890516,0,14.7,14.7774193548387,2187.61290322581
19890517,0,15.1,14.7774193548387,2187.61290322581
19890518,0,17.3,14.7774193548387,2187.61290322581
19890519,0,19.3,14.7774193548387,2187.61290322581
19890520,0,20.5,14.7774193548387,2187.61290322581
19890521,0,19.9,14.7774193548387,2187.61290322581
19890522,0,19.6,14.7774193548387,2187.61290322581
19890523,0,19.7,14.7774193548387,2187.61290322581
19890524,0,19.8,14.7774193548387,2187.61290322581
19890525,0,20.3,14.7774193548387,2187.61290322581
19890526,0,13.7,14.7774193548387,2187.61290322581
19890527,0,14.6,14.7774193548387,2187.61290322581
19890528,0,15.8,14.7774193548387,2187.61290322581
19890529,0,15.7,14.7774193548387,2187.61290322581
19890530,0,12.9,14.7774193548387,2187.61290322581
19890531,0,10.1,14.7774193548387,2187.61290322581
19890601,0,9.3,15.1366666666667,2039.46666666667
19890602,1.8,11,15.1366666666667,2039.46666666667
19890603,1.8,10.6,15.1366666666667,2039.46666666667
19890604,2.2,9.6,15.1366666666667,2039.46666666667
19890605,0,11.4,15.1366666666667,2039.46666666667
19890606,8.4,8.8,15.1366666666667,2039.46666666667
19890607,7.4,9.7,15.1366666666667,2039.46666666667
19890608,5.2,10.2,15.1366666666667,2039.46666666667
19890609,0,12.1,15.1366666666667,2039.46666666667
19890610,2.8,13.5,15.1366666666667,2039.46666666667
19890611,0,16.3,15.1366666666667,2039.46666666667
19890612,0,18.7,15.1366666666667,2039.46666666667
19890613,0,18.8,15.1366666666667,2039.46666666667
19890614,0,19.2,15.1366666666667,2039.46666666667
19890615,0,18.9,15.1366666666667,2039.46666666667
19890616,0,17.9,15.1366666666667,2039.46666666667
19890617,0,18.5,15.1366666666667,2039.46666666667
19890618,0,17.9,15.1366666666667,2039.46666666667
19890619,0,20.6,15.1366666666667,2039.46666666667
19890620,0,20.7,15.1366666666667,2039.46666666667
19890621,2.2,18,15.1366666666667,2039.46666666667
19890622,0,14.7,15.1366666666667,2039.46666666667
19890623,0,16.5,15.1366666666667,2039.46666666667
19890624,0,17.2,15.1366666666667,2039.46666666667
19890625,0,17.8,15.1366666666667,2039.46666666667
19890626,0,18.2,15.1366666666667,2039.46666666667
19890627,11.8,14.1,15.1366666666667,2039.46666666667
19890628,0.2,14.7,15.1366666666667,2039.46666666667
19890629,8.6,14.4,15.1366666666667,2039.46666666667
19890630,0,14.8,15.1366666666667,2039.46666666667
19890701,3.4,15.9,18.2870967741935,1930.38709677419
19890702,0,15.1,18.2870967741935,1930.38709677419
19890703,0,18,18.2870967741935,1930.38709677419
19890704,4.2,16.4,18.2870967741935,1930.38709677419
19890705,0,20.5,18.2870967741935,1930.38709677419
19890706,6.4,22.6,18.2870967741935,1930.38709677419
19890707,3,21.8,18.2870967741935,1930.38709677419
19890708,0.2,18.9,18.2870967741935,1930.38709677419
19890709,3.4,18.6,18.2870967741935,1930.38709677419
19890710,0,15.5,18.2870967741935,1930.38709677419
19890711,0,15.7,18.2870967741935,1930.38709677419
19890712,0,17.5,18.2870967741935,1930.38709677419
19890713,0,17.7,18.2870967741935,1930.38709677419
19890714,0,14.9,18.2870967741935,1930.38709677419
19890715,0,14.5,18.2870967741935,1930.38709677419
19890716,0,17.7,18.2870967741935,1930.38709677419
19890717,0,16.6,18.2870967741935,1930.38709677419
19890718,0,16.4,18.2870967741935,1930.38709677419
19890719,0,15.3,18.2870967741935,1930.38709677419
19890720,0,18.9,18.2870967741935,1930.38709677419
19890721,0,22.1,18.2870967741935,1930.38709677419
19890722,0,25,18.2870967741935,1930.38709677419
19890723,0,24.2,18.2870967741935,1930.38709677419
19890724,0,21.9,18.2870967741935,1930.38709677419
19890725,0,20.8,18.2870967741935,1930.38709677419
19890726,0,20.3,18.2870967741935,1930.38709677419
19890727,0,17.3,18.2870967741935,1930.38709677419
19890728,0,18,18.2870967741935,1930.38709677419
19890729,0,17.7,18.2870967741935,1930.38709677419
19890730,2.4,15.8,18.2870967741935,1930.38709677419
19890731,4.2,15.3,18.2870967741935,1930.38709677419
19890801,0,15,17.3193548387097,1635.41935483871
19890802,0,14.7,17.3193548387097,1635.41935483871
19890803,0,14.8,17.3193548387097,1635.41935483871
19890804,0,18.8,17.3193548387097,1635.41935483871
19890805,0,18.7,17.3193548387097,1635.41935483871
19890806,2.4,18.9,17.3193548387097,1635.41935483871
19890807,2.4,19.1,17.3193548387097,1635.41935483871
19890808,0,18.2,17.3193548387097,1635.41935483871
19890809,0,17.8,17.3193548387097,1635.41935483871
19890810,6.6,19.6,17.3193548387097,1635.41935483871
19890811,0.4,15,17.3193548387097,1635.41935483871
19890812,0,18.3,17.3193548387097,1635.41935483871
19890813,0,16.4,17.3193548387097,1635.41935483871
19890814,0,18.6,17.3193548387097,1635.41935483871
19890815,0,21.3,17.3193548387097,1635.41935483871
19890816,4,17.3,17.3193548387097,1635.41935483871
19890817,0,17.5,17.3193548387097,1635.41935483871
19890818,0,15.7,17.3193548387097,1635.41935483871
19890819,0,19,17.3193548387097,1635.41935483871
19890820,0,20.6,17.3193548387097,1635.41935483871
19890821,0,20.3,17.3193548387097,1635.41935483871
19890822,0,18.8,17.3193548387097,1635.41935483871
19890823,0,16.4,17.3193548387097,1635.41935483871
19890824,0,15.8,17.3193548387097,1635.41935483871
19890825,5.6,14.9,17.3193548387097,1635.41935483871
19890826,3.2,18.4,17.3193548387097,1635.41935483871
19890827,3,15.5,17.3193548387097,1635.41935483871
19890828,0.2,13.3,17.3193548387097,1635.41935483871
19890829,0,12.5,17.3193548387097,1635.41935483871
19890830,0,18.1,17.3193548387097,1635.41935483871
19890831,1.4,17.6,17.3193548387097,1635.41935483871
19890901,0,15.1,15.5833333333333,1141.56666666667
19890902,0.2,10.5,15.5833333333333,1141.56666666667
19890903,0,12.8,15.5833333333333,1141.56666666667
19890904,0,13.3,15.5833333333333,1141.56666666667
19890905,0,12.7,15.5833333333333,1141.56666666667
19890906,0,14.3,15.5833333333333,1141.56666666667
19890907,0,16.7,15.5833333333333,1141.56666666667
19890908,0,17.2,15.5833333333333,1141.56666666667
19890909,0,15.8,15.5833333333333,1141.56666666667
19890910,0,18.9,15.5833333333333,1141.56666666667
19890911,0,17.7,15.5833333333333,1141.56666666667
19890912,0.4,16.2,15.5833333333333,1141.56666666667
19890913,5,15.4,15.5833333333333,1141.56666666667
19890914,11.8,14.8,15.5833333333333,1141.56666666667
19890915,2.4,15.8,15.5833333333333,1141.56666666667
19890916,0.2,20.2,15.5833333333333,1141.56666666667
19890917,0,19.4,15.5833333333333,1141.56666666667
19890918,6,20.4,15.5833333333333,1141.56666666667
19890919,6.8,18.1,15.5833333333333,1141.56666666667
19890920,0,16.1,15.5833333333333,1141.56666666667
19890921,0,18.6,15.5833333333333,1141.56666666667
19890922,0.2,19,15.5833333333333,1141.56666666667
19890923,0,15.4,15.5833333333333,1141.56666666667
19890924,0,13.4,15.5833333333333,1141.56666666667
19890925,0,12.5,15.5833333333333,1141.56666666667
19890926,0,14.5,15.5833333333333,1141.56666666667
19890927,2.8,14.8,15.5833333333333,1141.56666666667
19890928,0,13.4,15.5833333333333,1141.56666666667
19890929,0,11.3,15.5833333333333,1141.56666666667
19890930,0,13.2,15.5833333333333,1141.56666666667
19891001,0,13.4,12.4064516129032,724.161290322581
19891002,0,13.3,12.4064516129032,724.161290322581
19891003,0,13.1,12.4064516129032,724.161290322581
19891004,0,10.2,12.4064516129032,724.161290322581
19891005,1.2,12.2,12.4064516129032,724.161290322581
19891006,3,11.6,12.4064516129032,724.161290322581
19891007,1.2,9.8,12.4064516129032,724.161290322581
19891008,0,11,12.4064516129032,724.161290322581
19891009,0.6,10.6,12.4064516129032,724.161290322581
19891010,0.6,10.9,12.4064516129032,724.161290322581
19891011,0.6,9.7,12.4064516129032,724.161290322581
